srcStateName,Class Studying,Schools surveyed,srcDistrictName,Students surveyed,srcYear,Average performance of students on learning outcome E302 EVS,Average performance of students on learning outcome E303 EVS,Average performance of students on learning outcome E304 EVS,Average performance of students on learning outcome E305 EVS,Average performance of students on learning outcome E307 EVS,Average performance of students on learning outcome E309 EVS,Average performance of students on learning outcome E310 EVS,Average performance of students on learning outcome E311 EVS,Average performance of students on learning outcome E313 EVS,Average performance of students on learning outcome E314 EVS,Average performance of students on learning outcome L304 Language,Average performance of students on learning outcome L312 Language,Average performance of students on learning outcome M301 Mathematics,Average performance of students on learning outcome M302 Mathematics,Average performance of students on learning outcome M303 Mathematics,Average performance of students on learning outcome M304 Mathematics,Average performance of students on learning outcome M305 Mathematics,Average performance of students on learning outcome M306 Mathematics,Average performance of students on learning outcome M309 Mathematics,Average performance of students on learning outcome M311 Mathematics,Average performance of students on learning outcome M312 Mathematics,Average performance of students on learning outcome M317 Mathematics,Average performance of students on learning outcome M318 Mathematics,Average performance of students on learning outcome M319 Mathematics,YearCode,Year
Tamil Nadu,3,60,Dindigul,972,2017,60.29,55.3,65.76,71.09,69.74,60,62.35,58.23,34.96,80.35,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,60,Dindori,628,2017,49.68,62.62,63.29,69.75,66.56,55.42,68.63,52.07,29.84,72.13,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Daman & Diu,3,14,Diu,263,2017,28.52,43.75,46.69,44.49,50.75,30.37,44.87,39.54,22.66,56.65,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jammu And Kashmir,3,61,Doda,523,2017,44.74,38.28,48.38,56.88,56.58,55.06,41.49,38.24,22.66,49.9,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Dohad,1416,2017,56.21,70.78,67.37,67.27,73.08,68.64,67.58,47.46,35.32,74.44,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,61,Dumka,865,2017,60.69,66.19,67.16,71.04,72.86,55.51,70.87,59.31,29.05,72.72,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,61,Dungarpur,953,2017,58.87,68.8,69.11,71.67,70.41,62.27,72.61,56.03,31.2,76.18,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,61,Durg,1419,2017,63.28,63.27,71.87,74.03,77.3,64.54,78.93,65.47,37.73,85.84,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Delhi,3,56,East Delhi,959,2017,52.45,59.88,60.18,59.28,60.13,47.36,62.36,46.3,32.72,70.18,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,3,59,East Garo Hills,671,2017,34.13,42.55,48.49,49.48,56.47,25.15,42.32,35.02,29.48,57.53,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,3,54,East Godavari,809,2017,67.74,80.3,67.23,86.16,82.09,66.18,82.57,74.29,65.84,89.25,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,3,61,East Jaintia Hills,868,2017,44.35,43.59,50.88,53.34,52.72,35.31,44.35,37.21,37.06,58.29,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,3,58,East Kameng,704,2017,32.95,39.48,48.59,47.37,49.15,42.58,41.48,31.25,25.65,42.61,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,3,61,East Khasi Hills,938,2017,61.51,63.6,70.14,75.96,77.89,53.93,65.46,56.18,46.25,80.17,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,3,55,East Siang,815,2017,27.98,34.34,40.04,41.53,40.11,30.55,29.45,31.53,16.92,40.61,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Sikkim,3,59,East Sikkim,847,2017,45.69,50.82,51.66,65.23,60.77,46.19,40.73,35.54,30.68,60.57,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,3,61,Ernakulam,1333,2017,85.3,64.4,78.65,91.19,85.14,68.6,77.27,67.22,56.87,87.32,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,58,Hazaribag,1107,2017,,,,,,,,,,,72.96,72.01,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,3,58,Erode,877,2017,63.17,58.17,68.55,78.62,71.12,59.07,61.23,59.29,40.04,79.02,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,59,Etah,853,2017,50.29,52.48,59.1,60.14,61.5,39.23,56.27,45.6,33.05,61.08,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,60,Etawah,910,2017,63.63,73.24,68.93,71.76,74.15,57.14,73.41,61.1,32.43,74.84,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,60,Faizabad,896,2017,47.77,56.7,50.41,55.3,53.85,52.38,57.48,48.21,21.98,60.49,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,3,61,Faridabad,1200,2017,50.5,64.6,69.24,72.13,71.34,52.48,72.08,58.08,34.9,78.83,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,3,61,Faridkot,855,2017,54.27,63.83,62.45,62.51,47.71,51.16,59.18,44.68,26.24,69.36,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,50,Farrukhabad,919,2017,53.75,64.1,62.74,64.36,63.62,52.47,67.68,49.4,24.89,68.23,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,3,61,Fatehabad,1105,2017,45.52,48.98,60.69,61.4,57.1,47.16,60.72,44.8,20.52,68.51,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,3,61,Fatehgarh Sahib,755,2017,42.91,49.87,53.7,51.52,42.49,36.98,50.33,37.09,24.26,61.32,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,54,Fatehpur,893,2017,58.23,66.29,63.93,65.85,66.55,61.61,68.87,58.45,31.69,72.79,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jammu And Kashmir,3,55,Baramula,520,2017,,,,,,,,,,,73.17,71.92,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,3,60,Fazilka,1112,2017,52.88,56.37,60.96,62.01,50.39,53.69,55.04,47.57,27.65,73.38,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Firozabad,938,2017,57.25,55.08,63.16,62.79,62.36,50.43,63.65,52.67,30.51,69.19,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,3,61,Firozpur,864,2017,62.04,72,67.69,72.22,54.11,59.91,69.1,51.04,37.88,79.98,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,61,Gadag,1446,2017,72.89,70.49,72.58,81.98,81.07,81.12,83.89,74.14,53.15,87.21,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Gadchiroli,1017,2017,57.03,71.69,72.74,70.8,77.84,70.53,70.21,63.42,38.09,83.28,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,31,Gajapati,696,2017,39.94,52.72,51.74,50.57,53.6,36.89,54.31,39.22,32.09,62.21,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jammu And Kashmir,3,43,Ganderbal,385,2017,49.35,64.29,69.93,69.35,63.68,60.85,56.62,40.26,29.08,60,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Gandhinagar,1378,2017,54.64,75.66,71.81,71.23,76.54,64.37,71.41,58.06,35.78,80.99,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,59,Ganganagar,927,2017,62.46,68.34,70.76,72.17,71.38,57.78,72.49,62.46,32.97,75.19,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,61,Ganjam,1010,2017,51.88,63.29,62.08,69.8,74.03,63.44,73.27,57.72,52.13,82.08,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,61,Garhwa,1015,2017,56.06,62.97,66.18,69.9,69.93,60.78,72.71,55.57,30.69,72.32,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,3,61,Garhwal,534,2017,67.6,73.15,74.76,79.12,76.76,67.15,81.84,69.66,50.58,87.45,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,60,Gariaband,835,2017,46.71,47.84,61.24,59.58,60.93,48.45,60.48,47.66,31.49,71.38,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Gautam Buddha Nagar,1252,2017,61.1,70.72,67.55,68.21,67.72,50.56,70.29,52.56,41.76,74.76,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,61,Gaya,1246,2017,55.78,57.19,64.22,70.18,66.42,56.62,71.03,53.13,31.18,68.7,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,58,Ghaziabad,953,2017,58.55,62.98,67.23,67.63,65.85,49.65,71.46,53.52,30.73,75.87,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,60,Ghazipur,1071,2017,31.93,25.75,15.07,12.42,18.76,22.08,20.73,21.38,13.72,7.28,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Gir Somnath,1409,2017,48.12,59.62,68.93,67.18,72.77,62.24,68.63,60.11,41.55,78.28,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,61,Giridih,927,2017,51.46,64.54,64.25,66.72,68.04,48.84,72.6,52.32,31.72,70.44,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,60,Goalpara,1080,2017,54.26,71.56,65.62,71.85,71.64,61.2,70.46,56.57,32.77,71.3,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,60,Godda,1116,2017,57.53,56.35,65.41,65.37,69.83,59.69,68.91,53.67,32.6,73.03,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,61,Golaghat,819,2017,51.53,59.63,56.66,60.32,61.16,52.5,60.2,45.3,26.65,65.45,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Tripura,3,59,Gomati,847,2017,47.58,66.67,62.83,70.72,68.82,43.35,58.56,59.5,45.26,70.96,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Gonda,1101,2017,56.4,62.94,61.77,65.67,63.61,57.73,63.12,53.22,31.38,68.3,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Gondiya,1085,2017,48.29,56.14,62.95,58.06,63.95,61.33,61.38,46.73,40.83,68.76,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,59,Gopalganj,1198,2017,61.1,55.1,65.17,68.86,66.98,56.07,69.03,52.25,30.44,73.21,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,54,Auraiya,985,2017,,,,,,,,,,,68.58,64.3,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Gorakhpur,965,2017,50.26,49.08,60.51,62.54,56.32,41.98,61.97,50.05,29.94,64.35,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,61,Gumla,1011,2017,49.75,60.89,63.66,68.1,70.05,53.2,69.83,53.81,37.7,76.46,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,60,Guna,641,2017,56.47,62.62,62.22,63.88,66.72,51.83,68.49,46.49,18.53,70.2,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,3,59,Guntur,828,2017,71.62,74.11,65.18,84.3,80.69,68.3,78.62,69.57,52.02,87.2,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,3,61,Gurdaspur,785,2017,55.67,56.22,64.92,66.82,55.87,54.64,66.11,48.28,39.64,78.85,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,3,61,Gurgaon,1071,2017,54.15,66.85,68.93,70.96,69.57,49.53,68.53,59.01,42.04,79.55,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,60,Gwalior,850,2017,57.76,72.81,68.06,68.53,71.34,55.97,76.35,59.76,26.48,75.29,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,60,Hailakandi,797,2017,54.2,71.05,68.13,73.02,73.35,64.75,66.75,60.6,49.21,74.15,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,3,61,Hamirpur (h.p.),674,2017,53.56,56.8,65.97,68.4,66.67,43.73,63.8,51.48,34.44,76.71,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Hamirpur (u.p.),1501,2017,55.63,13.02,51.95,60.26,53.97,56.35,64.69,28.91,23.49,53.83,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,61,Hanumangarh,1016,2017,57.09,69.14,72.26,73.28,72.08,61.32,73.52,63.68,42.48,79.53,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,3,61,Haora,1150,2017,63.22,83.22,72.87,78,78.36,68.21,80.7,70.78,56.95,88.09,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Hapur (panchsheel Nagar),1003,2017,52.74,54.4,56.83,55.33,57.98,52.72,64.21,52.64,27.81,61.52,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,61,Harda,941,2017,56.32,66.37,65.42,67.96,64.9,53.78,66.84,53.67,33.85,72.16,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,59,Hardoi,842,2017,40.62,40.98,28.51,26.84,32.9,39.28,39.19,34.2,20.84,20.78,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,3,60,Haridwar,1283,2017,66.25,77,75.26,79.19,76.8,66.46,83.16,67.42,38.81,85.66,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,58,Hassan,802,2017,79.18,68.7,72.9,82.11,83.4,79.22,83.67,78.55,47.58,90.15,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Hathras,1010,2017,64.16,66.93,69.59,71.39,70.86,63.56,73.27,58.91,46.93,75.74,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,61,Haveri,1295,2017,77.14,72.66,73.42,83.36,82.85,77.71,89.81,71.81,45.47,89.11,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,58,Hazaribag,1107,2017,63.23,65.45,71.56,73.71,73.46,63.39,77.42,61.25,34.92,76.15,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Hingoli,1363,2017,62.07,74.29,76.08,66.98,79.23,67.68,72.05,62.22,40.56,84.08,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,3,61,Hisar,1082,2017,51.66,54.83,63.4,64.51,60.37,55.35,60.91,46.77,36.07,68.95,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,59,Hoshangabad,769,2017,65.93,68.65,66.34,69.64,74.53,58.9,73.6,63.07,34.32,80.1,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,3,61,Hoshiarpur,676,2017,57.69,58.28,61.25,60.65,54.24,43.71,57.1,42.46,27.3,71.15,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,3,60,Hugli,1109,2017,61.05,75.76,71.82,76.06,76.77,63.5,71.24,68.53,60.25,86.2,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,61,Hyderbad,1198,2017,72.87,63.43,72.2,81.64,74.15,64.81,74.54,65.53,32.95,81.97,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,3,61,Idukki,1143,2017,73.4,59.93,68.33,77.82,75.46,43.07,62.29,66.32,49.82,83.46,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,3,58,Imphal East,651,2017,57.91,65.72,69.71,71.58,69.36,52.25,67.43,57.14,41.19,71.12,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,3,42,Imphal West,303,2017,54.46,60.38,65.86,73.6,70.92,52.78,59.41,52.48,45.28,70.63,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,59,Indore,919,2017,65.72,72.92,72.38,78.94,76.41,64.67,79,61.37,34.97,84.22,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,61,Jabalpur,810,2017,59.75,58.88,66.26,67.84,68.31,53.13,71.11,58.02,29.19,73.95,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,12,Jagatsinghpur,215,2017,87.44,74.31,76.47,75.58,87.07,58.49,80.93,73.49,69.72,93.02,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,59,Jagtial,809,2017,55.62,61.42,64.49,75.15,66.46,57.59,67,59.21,32.99,73.67,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,57,Jaipur,851,2017,73.33,75.82,80.47,82.26,80.68,79.53,82.49,74.97,52.35,87.66,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,61,Jaisalmer,812,2017,67.24,63.5,74.84,78.33,77.25,66.26,78.33,61.45,43.75,85.1,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,36,Jajpur,639,2017,59.62,58.79,58.14,66.28,70.31,57.06,66.04,59.94,51.76,70.27,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,3,61,Jalandhar,840,2017,65.24,71.29,67.55,70.65,57.92,68.96,73.69,52.26,41.63,81.55,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Hingoli,1363,2017,,,,,,,,,,,77.99,71.56,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Jalaun,987,2017,59.37,52.65,65.07,66.92,65.2,57.14,69.6,50.56,35.92,71.12,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,61,Jalgaon,1428,2017,61.27,70.59,68.26,62.99,70.91,65.53,66.67,54.48,36.01,75.98,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,3,60,Jalna,1349,2017,50.7,63.33,66.4,59.3,70.78,54.78,64.64,51.3,34.46,76.5,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,59,Jalor,937,2017,61.79,62.78,70.92,74.07,74.44,65.63,72.57,55.82,34.8,79.08,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,3,54,Jalpaiguri,899,2017,47.5,56.49,58.29,55.12,60.15,50.87,52.39,47.61,38.5,62.4,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jammu And Kashmir,3,61,Jammu,470,2017,45.74,50,53.85,58.83,54.97,47.95,52.98,39.79,21.68,55.96,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Jamnagar,1101,2017,46.41,70.63,67.16,66.21,72.54,54.88,66.76,52.77,39.96,73.75,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,3,61,Jamtara,945,2017,51.96,60.66,62.44,65.34,65.49,54.98,66.56,49.31,26.09,67.83,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,61,Jamui,1252,2017,56.15,59.26,67.21,70.57,70.92,58.32,72.04,48.16,25.76,75.48,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,58,Jangaon,787,2017,63.15,55.81,73.97,78.97,74.98,69.75,75.98,69.25,39.53,81.96,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,60,Janjgir - Champa,946,2017,41.75,42.17,58.72,59.09,57.75,47.74,58.03,43.55,27.61,72.62,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,3,58,Jashpur,853,2017,56.74,67.38,71.24,72.04,69.45,63.72,73.97,59.79,32.15,80.07,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,60,Jaunpur,1320,2017,42.73,71.3,52.41,56.59,50.36,41.34,52.65,36.97,34.26,77.65,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,58,Jayashankar,676,2017,52.66,43.82,67.41,71.67,65.86,50.3,67.46,59.62,33.24,70.56,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,60,Jehanabad,1106,2017,48.37,56.59,57.77,62.75,64.26,61.07,69.26,43.58,17.58,67.27,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,3,61,Jhabua,783,2017,42.66,49.49,59.48,61.11,58.99,54.48,57.09,41.89,26.02,63.98,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,3,61,Jhajjar,962,2017,57.17,63.03,63.69,65.75,62.71,56.68,64.97,52.08,30.77,69.65,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,61,Jhalawar,1004,2017,66.73,74.13,73.44,76.05,73.37,59.19,76.79,68.82,38.4,80.08,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Jhansi,898,2017,58.57,56.25,62.18,69.82,67.25,60.22,70.6,55.35,38.62,72.83,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,3,61,Jhargram,714,2017,64.43,74.79,69.55,75.49,76.7,70.36,68.91,63.73,50.71,81.93,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,8,Jharsuguda,137,2017,45.99,58.82,58.12,59.12,59.71,59.42,50.36,45.26,50,62.04,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,59,Jhunjhunu,719,2017,72.6,80.62,80.94,86.23,85.4,77.41,86.37,75.94,48.03,87.34,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,3,61,Jind,1102,2017,41.38,56.15,59.4,60.93,58.62,50.45,58.8,48.37,20.55,69.06,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,3,61,Jodhpur,887,2017,67.98,63.41,75.38,79.09,77.36,69.13,73.73,69,40,84.1,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,61,Jogulamba,1214,2017,48.43,44.74,64.73,67.79,63.37,57.89,62.52,58.4,29.88,69.93,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,61,Jorhat,796,2017,58.54,70.2,60.22,69.47,66.68,49.75,66.08,53.39,36.62,68.97,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Junagadh,1104,2017,50.63,69.27,72.33,73.37,76.45,62.09,71.47,61.05,44.18,81.16,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,3,61,Jyotiba Phule Nagar (amroha),1008,2017,61.21,72.99,67.92,73.36,72.82,60.08,76.88,62.2,41.95,77.68,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,3,61,Kachchh,1266,2017,49.37,68.68,70.19,69.27,72.7,60.44,66.03,52.45,41.97,75.99,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,3,59,Kadapa,738,2017,70.19,79.83,68.44,86.99,84.96,72.87,83.06,69.51,54.97,87.8,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,3,61,Kaimur (bhabua),1381,2017,51.99,59.18,60.2,66.29,64.71,56.32,68.94,51.34,24.96,67.49,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,3,61,Kaithal,1167,2017,49.61,62.76,64.79,68.59,63.51,50.26,64.95,50.39,27.24,77.12,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,3,61,Kalaburgi,1404,2017,61.11,57.57,61.08,68.48,67.66,63.99,69.87,53.56,35.93,71.79,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,58,Kalahandi,808,2017,39.36,56.53,52.09,53.09,56.44,44.15,59.9,41.58,31.66,62.38,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,3,61,Kamareddy,848,2017,49.06,52.2,65.44,69.4,68.39,68.04,63.44,61.67,34.39,69.58,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,58,Kamrup-metro,1128,2017,55.59,62.83,65.64,71.59,69.9,55.14,68,57.18,41.01,76.68,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Assam,3,61,Kamrup-rural,897,2017,57.53,78.57,66.24,72.52,73.09,62.42,74.14,57.75,33.41,77.93,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,3,60,Kancheepuram,942,2017,69.21,62.58,70.7,79.14,73.2,63.34,59.98,60.83,35.55,79.19,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,3,52,Kandhamal,811,2017,36.37,44,46.76,47.41,54.38,37.23,49.82,37.24,37.75,60.54,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,3,61,Kangra,577,2017,68.63,80.22,79.43,82.67,81.11,60.54,84.06,64.12,46.4,87.35,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
